ReviewID;CustomerID;ProductID;Rating;ReviewDate;ReviewText;SentimentScore;SentimentCategory;SentimentBucket
44;44;17;5;20/04/2023;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
45;11;16;3;23/03/2023;Not worth the money.;-0.1695;Mixed Negative;-0.49 to 0.0
46;27;5;4;07/05/2025;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
47;19;13;4;01/06/2024;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
48;70;17;4;08/10/2023;Shipping was fast and the item was well-packaged.;0.0;Positive;0.0 to 0.49
49;3;7;3;09/06/2025;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.0 to 0.49
50;62;4;1;07/01/2023;The product stopped working after a month.;-0.2263;Negative;-0.49 to 0.0
51;49;17;4;14/04/2023;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
52;75;11;4;07/04/2024;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
53;73;18;4;28/12/2025;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
54;33;8;5;03/05/2023;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
55;57;9;3;03/11/2025;Customer support was very helpful.;0.6997;Mixed Positive;0.5 to 1.0
56;15;10;3;11/12/2025;Shipping was fast and the item was well-packaged.;0.0;Neutral;0.0 to 0.49
57;41;10;2;06/04/2024;Disappointed with the performance.;-0.4767;Negative;-0.49 to 0.0
58;78;7;2;16/07/2024;The product is okay, but the instructions were unclear.;-0.2617;Negative;-0.49 to 0.0
59;98;9;4;01/09/2024;The build quality is impressive.;0.5106;Positive;0.5 to 1.0
60;11;16;4;27/12/2023;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
61;50;19;4;24/02/2023;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
62;35;17;2;18/03/2023;Average experience, nothing special.;-0.3089;Negative;-0.49 to 0.0
63;93;2;4;05/01/2025;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
64;86;11;4;30/10/2025;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
65;34;3;1;15/06/2024;Not worth the money.;-0.1695;Negative;-0.49 to 0.0
66;94;16;4;17/06/2023;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
67;67;13;3;12/04/2025;Average experience, nothing special.;-0.3089;Mixed Negative;-0.49 to 0.0
68;38;7;3;23/03/2023;The product is okay, but the instructions were unclear.;-0.2617;Mixed Negative;-0.49 to 0.0
69;77;12;3;03/08/2025;Five stars for the quick delivery.;0.0;Neutral;0.0 to 0.49
70;93;5;4;30/01/2024;Shipping was fast and the item was well-packaged.;0.0;Positive;0.0 to 0.49
71;24;11;3;28/07/2025;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.0 to 0.49
72;29;4;5;29/05/2023;The build quality is impressive.;0.5106;Positive;0.5 to 1.0
73;68;19;5;05/05/2025;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
74;59;9;3;16/05/2023;The product is okay, but the instructions were unclear.;-0.2617;Mixed Negative;-0.49 to 0.0
75;22;3;5;13/01/2024;Shipping was fast and the item was well-packaged.;0.0;Positive;0.0 to 0.49
76;9;10;4;31/08/2025;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
77;74;5;4;15/03/2023;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
78;6;10;5;09/12/2024;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
79;84;15;2;28/05/2024;The product arrived late.;0.0;Negative;0.0 to 0.49
80;98;16;3;24/05/2025;Not worth the money.;-0.1695;Mixed Negative;-0.49 to 0.0
81;3;19;4;04/09/2024;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
82;78;13;4;02/05/2023;Shipping was fast and the item was well-packaged.;0.0;Positive;0.0 to 0.49
83;32;11;4;26/05/2025;The quality is top-notch.;0.0;Positive;0.0 to 0.49
84;40;20;4;17/07/2023;Good quality, but could be cheaper.;0.2382;Positive;0.0 to 0.49
85;17;6;5;25/10/2025;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
86;78;3;5;06/10/2025;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
87;89;17;3;26/05/2023;Not worth the money.;-0.1695;Mixed Negative;-0.49 to 0.0
88;93;19;4;26/08/2025;Exceeded my expectations!;0.0;Positive;0.0 to 0.49
89;60;3;3;08/07/2024;The quality is top-notch.;0.0;Neutral;0.0 to 0.49
90;47;17;4;12/11/2025;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
91;4;16;3;27/09/2025;Great purchase, very satisfied.;0.8016;Mixed Positive;0.5 to 1.0
92;2;16;3;21/11/2023;Not worth the money.;-0.1695;Mixed Negative;-0.49 to 0.0
93;60;13;3;05/09/2024;Not worth the money.;-0.1695;Mixed Negative;-0.49 to 0.0
94;2;16;4;14/03/2025;The quality is top-notch.;0.0;Positive;0.0 to 0.49
95;16;16;4;07/04/2024;Shipping was fast and the item was well-packaged.;0.0;Positive;0.0 to 0.49
96;19;13;3;02/09/2023;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.0 to 0.49
97;64;6;3;19/01/2024;The product is okay, but the instructions were unclear.;-0.2617;Mixed Negative;-0.49 to 0.0
98;96;3;5;20/11/2025;Exceeded my expectations!;0.0;Positive;0.0 to 0.49
99;79;16;2;29/01/2025;Average experience, nothing special.;-0.3089;Negative;-0.49 to 0.0
100;9;2;3;20/06/2025;Not worth the money.;-0.1695;Mixed Negative;-0.49 to 0.0
101;61;18;5;11/09/2024;The build quality is impressive.;0.5106;Positive;0.5 to 1.0
102;4;2;5;22/08/2025;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
103;82;14;5;17/11/2024;The quality is top-notch.;0.0;Positive;0.0 to 0.49
104;96;5;4;06/01/2023;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
105;32;12;2;27/08/2024;The product arrived late.;0.0;Negative;0.0 to 0.49
106;94;17;2;25/02/2024;Average experience, nothing special.;-0.3089;Negative;-0.49 to 0.0
107;26;10;5;17/02/2025;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
108;80;17;5;22/12/2023;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
109;38;10;4;25/07/2023;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
110;54;12;4;02/08/2024;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
111;43;7;4;05/11/2023;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
112;87;3;5;26/05/2023;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
113;27;9;2;31/03/2024;Disappointed with the performance.;-0.4767;Negative;-0.49 to 0.0
114;52;19;2;04/05/2025;Average experience, nothing special.;-0.3089;Negative;-0.49 to 0.0
115;82;9;4;28/09/2023;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
116;70;18;4;23/07/2023;The quality is top-notch.;0.0;Positive;0.0 to 0.49
117;20;14;4;19/04/2025;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
118;59;6;1;01/05/2024;The product arrived late.;0.0;Negative;0.0 to 0.49
119;34;5;4;06/09/2025;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
120;3;20;4;18/08/2024;The quality is top-notch.;0.0;Positive;0.0 to 0.49
121;91;1;2;02/11/2025;Good quality, but could be cheaper.;0.2382;Mixed Negative;0.0 to 0.49
122;83;14;2;27/09/2024;Not worth the money.;-0.1695;Negative;-0.49 to 0.0
123;93;1;4;22/09/2025;Good quality, but could be cheaper.;0.2382;Positive;0.0 to 0.49
124;36;16;5;17/07/2023;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
125;55;11;5;20/12/2025;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
126;32;10;5;12/08/2024;Exceeded my expectations!;0.0;Positive;0.0 to 0.49
127;47;8;4;25/03/2025;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
128;71;20;2;13/12/2023;Average experience, nothing special.;-0.3089;Negative;-0.49 to 0.0
129;46;13;4;14/02/2025;Good quality, but could be cheaper.;0.2382;Positive;0.0 to 0.49
130;88;3;5;22/09/2025;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
131;42;5;5;16/06/2023;Amazing value for the price.;0.7351;Positive;0.5 to 1.0
132;21;7;2;13/11/2025;Product did not meet my expectations.;0.0;Negative;0.0 to 0.49
133;40;4;4;24/05/2025;The quality is top-notch.;0.0;Positive;0.0 to 0.49
134;74;4;3;27/03/2024;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.0 to 0.49
135;48;14;4;08/06/2023;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
136;17;3;5;27/03/2025;Amazing value for the price.;0.7351;Positive;0.5 to 1.0
137;88;6;4;02/03/2023;Good quality, but could be cheaper.;0.2382;Positive;0.0 to 0.49
138;28;15;5;18/01/2023;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
139;36;16;4;20/04/2023;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
140;53;18;3;03/12/2023;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.0 to 0.49
141;98;9;5;15/10/2024;Amazing value for the price.;0.7351;Positive;0.5 to 1.0
142;15;7;5;04/08/2023;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
143;3;12;3;12/04/2023;Average experience, nothing special.;-0.3089;Mixed Negative;-0.49 to 0.0
144;27;15;4;16/08/2025;The build quality is impressive.;0.5106;Positive;0.5 to 1.0
145;27;10;3;05/03/2024;The product is okay, but the instructions were unclear.;-0.2617;Mixed Negative;-0.49 to 0.0
146;5;13;4;09/01/2025;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
147;100;20;2;25/01/2025;Average experience, nothing special.;-0.3089;Negative;-0.49 to 0.0
148;17;18;1;05/11/2024;Average experience, nothing special.;-0.3089;Negative;-0.49 to 0.0
149;50;3;4;20/12/2023;The quality is top-notch.;0.0;Positive;0.0 to 0.49
150;4;15;5;18/06/2024;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
151;21;19;3;30/10/2023;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.0 to 0.49
152;32;16;3;15/12/2025;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.0 to 0.49
153;95;11;5;06/11/2023;Amazing value for the price.;0.7351;Positive;0.5 to 1.0
154;3;12;4;19/12/2023;The quality is top-notch.;0.0;Positive;0.0 to 0.49
155;89;3;4;10/12/2025;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
156;5;7;5;26/01/2025;The build quality is impressive.;0.5106;Positive;0.5 to 1.0
157;10;17;2;14/10/2025;The product arrived late.;0.0;Negative;0.0 to 0.49
158;37;2;5;16/04/2024;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
159;23;12;5;01/09/2023;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
160;71;9;2;02/01/2024;Not worth the money.;-0.1695;Negative;-0.49 to 0.0
161;9;18;2;05/08/2025;The product arrived late.;0.0;Negative;0.0 to 0.49
162;64;20;3;25/07/2023;Average experience, nothing special.;-0.3089;Mixed Negative;-0.49 to 0.0
163;89;7;5;27/05/2023;The quality is top-notch.;0.0;Positive;0.0 to 0.49
164;25;19;2;16/03/2024;Product did not meet my expectations.;0.0;Negative;0.0 to 0.49
165;97;3;4;03/06/2025;The quality is top-notch.;0.0;Positive;0.0 to 0.49
166;87;3;3;01/11/2023;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.0 to 0.49
167;28;16;2;02/08/2023;Product did not meet my expectations.;0.0;Negative;0.0 to 0.49
168;72;2;3;13/12/2025;Customer support was very helpful.;0.6997;Mixed Positive;0.5 to 1.0
169;26;8;5;28/09/2025;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
170;53;13;5;23/06/2024;The build quality is impressive.;0.5106;Positive;0.5 to 1.0
171;2;16;3;16/02/2024;Not worth the money.;-0.1695;Mixed Negative;-0.49 to 0.0
172;79;2;3;23/11/2024;Not worth the money.;-0.1695;Mixed Negative;-0.49 to 0.0
173;15;16;5;30/05/2025;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
174;91;8;4;23/06/2024;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
175;3;6;3;02/11/2024;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.0 to 0.49
176;21;11;3;23/11/2023;The product is okay, but the instructions were unclear.;-0.2617;Mixed Negative;-0.49 to 0.0
177;93;19;4;03/07/2025;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
178;17;20;4;25/05/2025;The quality is top-notch.;0.0;Positive;0.0 to 0.49
179;46;20;4;26/11/2025;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
180;77;5;4;08/03/2023;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
181;4;3;4;09/08/2024;The build quality is impressive.;0.5106;Positive;0.5 to 1.0
182;21;11;5;08/03/2024;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
183;13;5;4;08/06/2025;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
184;59;5;4;29/12/2024;Shipping was fast and the item was well-packaged.;0.0;Positive;0.0 to 0.49
185;8;6;2;13/11/2023;Product did not meet my expectations.;0.0;Negative;0.0 to 0.49
186;22;13;4;17/02/2023;The quality is top-notch.;0.0;Positive;0.0 to 0.49
187;58;18;4;01/05/2025;The quality is top-notch.;0.0;Positive;0.0 to 0.49
188;70;5;5;19/09/2025;Exceeded my expectations!;0.0;Positive;0.0 to 0.49
189;83;7;2;13/03/2025;The product arrived late.;0.0;Negative;0.0 to 0.49
190;83;3;3;10/08/2023;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.0 to 0.49
191;68;3;4;05/09/2024;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
192;42;17;5;04/08/2023;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
193;84;20;3;21/06/2024;The product is okay, but the instructions were unclear.;-0.2617;Mixed Negative;-0.49 to 0.0
194;7;7;1;19/05/2025;The product arrived late.;0.0;Negative;0.0 to 0.49
195;75;5;5;25/10/2023;Amazing value for the price.;0.7351;Positive;0.5 to 1.0
196;91;2;3;29/10/2023;Average experience, nothing special.;-0.3089;Mixed Negative;-0.49 to 0.0
197;51;15;4;27/11/2024;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
198;57;8;5;27/08/2023;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
199;6;13;5;20/08/2024;The quality is top-notch.;0.0;Positive;0.0 to 0.49
200;30;17;3;09/01/2025;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.0 to 0.49
201;59;6;2;23/05/2023;Not worth the money.;-0.1695;Negative;-0.49 to 0.0
202;33;9;5;06/09/2023;Amazing value for the price.;0.7351;Positive;0.5 to 1.0
203;66;18;3;22/11/2023;Average experience, nothing special.;-0.3089;Mixed Negative;-0.49 to 0.0
204;95;14;4;29/11/2024;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
205;88;12;5;06/04/2023;Amazing value for the price.;0.7351;Positive;0.5 to 1.0
206;72;14;4;22/08/2023;Shipping was fast and the item was well-packaged.;0.0;Positive;0.0 to 0.49
207;95;18;4;07/06/2025;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
208;94;8;4;25/03/2023;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
209;70;8;3;05/11/2025;Average experience, nothing special.;-0.3089;Mixed Negative;-0.49 to 0.0
210;28;1;2;10/12/2023;The product arrived late.;0.0;Negative;0.0 to 0.49
211;84;12;4;07/03/2025;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
212;87;10;1;03/01/2023;Terrible customer service, would not buy again.;-0.4767;Negative;-0.49 to 0.0
213;7;13;5;09/04/2024;Shipping was fast and the item was well-packaged.;0.0;Positive;0.0 to 0.49
214;53;18;3;13/04/2025;Five stars for the quick delivery.;0.0;Neutral;0.0 to 0.49
215;55;10;2;07/01/2024;Product did not meet my expectations.;0.0;Negative;0.0 to 0.49
216;49;7;3;14/11/2023;The product is okay, but the instructions were unclear.;-0.2617;Mixed Negative;-0.49 to 0.0
217;62;11;5;19/08/2023;Amazing value for the price.;0.7351;Positive;0.5 to 1.0
218;35;8;4;14/09/2024;The quality is top-notch.;0.0;Positive;0.0 to 0.49
219;90;9;4;18/02/2023;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
220;78;9;2;12/08/2025;Disappointed with the performance.;-0.4767;Negative;-0.49 to 0.0
221;26;2;4;21/10/2024;The build quality is impressive.;0.5106;Positive;0.5 to 1.0
222;54;14;5;28/02/2024;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
223;37;16;5;31/07/2023;Exceeded my expectations!;0.0;Positive;0.0 to 0.49
224;68;15;4;27/03/2023;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
225;80;1;3;08/09/2025;The product is okay, but the instructions were unclear.;-0.2617;Mixed Negative;-0.49 to 0.0
226;60;9;2;23/08/2023;The product arrived late.;0.0;Negative;0.0 to 0.49
227;74;11;4;10/08/2024;Good quality, but could be cheaper.;0.2382;Positive;0.0 to 0.49
228;20;19;2;23/10/2025;The product is okay, but the instructions were unclear.;-0.2617;Negative;-0.49 to 0.0
229;69;12;4;07/02/2023;The quality is top-notch.;0.0;Positive;0.0 to 0.49
230;54;11;2;19/10/2023;The product arrived late.;0.0;Negative;0.0 to 0.49
231;15;16;5;15/04/2025;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
232;17;3;5;11/10/2025;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
233;81;4;2;14/11/2024;The product arrived late.;0.0;Negative;0.0 to 0.49
234;80;9;5;06/03/2023;The build quality is impressive.;0.5106;Positive;0.5 to 1.0
235;54;3;4;18/03/2024;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
236;55;16;5;03/03/2025;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
237;44;2;4;29/09/2025;The quality is top-notch.;0.0;Positive;0.0 to 0.49
238;47;9;4;18/04/2023;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
239;45;9;5;28/01/2024;Exceeded my expectations!;0.0;Positive;0.0 to 0.49
240;20;16;5;09/11/2024;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
241;61;15;4;22/04/2024;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
242;20;20;4;07/06/2025;The quality is top-notch.;0.0;Positive;0.0 to 0.49
243;24;11;1;17/02/2023;I had a bad experience with this product.;-0.5423;Negative;-1.0 to -0.5
244;36;4;4;25/08/2023;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
245;50;3;3;23/03/2023;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.0 to 0.49
246;71;12;4;23/07/2023;The quality is top-notch.;0.0;Positive;0.0 to 0.49
247;28;6;5;24/11/2025;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
248;81;6;3;15/07/2023;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.0 to 0.49
249;75;2;1;04/01/2023;Not satisfied, the product broke after a week.;-0.6288;Negative;-1.0 to -0.5
250;22;11;1;21/09/2023;The product stopped working after a month.;-0.2263;Negative;-0.49 to 0.0
251;16;2;4;01/02/2024;Good quality, but could be cheaper.;0.2382;Positive;0.0 to 0.49
252;6;6;5;18/03/2025;The build quality is impressive.;0.5106;Positive;0.5 to 1.0
253;75;15;3;03/08/2024;Great purchase, very satisfied.;0.8016;Mixed Positive;0.5 to 1.0
254;30;19;3;31/12/2025;Average experience, nothing special.;-0.3089;Mixed Negative;-0.49 to 0.0
255;13;16;5;23/01/2024;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
256;91;3;4;11/02/2024;Good quality, but could be cheaper.;0.2382;Positive;0.0 to 0.49
257;84;13;3;03/10/2023;Average experience, nothing special.;-0.3089;Mixed Negative;-0.49 to 0.0
258;34;7;4;13/05/2025;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
259;75;2;3;24/08/2023;The product is okay, but the instructions were unclear.;-0.2617;Mixed Negative;-0.49 to 0.0
260;44;18;3;07/03/2024;Average experience, nothing special.;-0.3089;Mixed Negative;-0.49 to 0.0
261;29;12;4;15/10/2024;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
262;45;7;5;07/07/2024;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
263;47;8;4;21/10/2024;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
264;96;18;4;19/08/2025;Shipping was fast and the item was well-packaged.;0.0;Positive;0.0 to 0.49
265;22;19;4;14/05/2024;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
266;62;5;5;22/02/2025;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
267;55;19;3;01/12/2023;The product is okay, but the instructions were unclear.;-0.2617;Mixed Negative;-0.49 to 0.0
268;98;17;5;28/10/2023;The build quality is impressive.;0.5106;Positive;0.5 to 1.0
269;75;4;4;18/11/2023;The quality is top-notch.;0.0;Positive;0.0 to 0.49
270;46;6;1;25/09/2023;The color was different from what was shown.;0.0;Negative;0.0 to 0.49
271;21;17;5;08/08/2025;The build quality is impressive.;0.5106;Positive;0.5 to 1.0
272;39;17;5;26/03/2023;Shipping was fast and the item was well-packaged.;0.0;Positive;0.0 to 0.49
273;10;2;5;09/10/2024;Shipping was fast and the item was well-packaged.;0.0;Positive;0.0 to 0.49
274;93;11;5;07/04/2023;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
275;45;12;4;03/04/2023;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
276;86;1;5;29/01/2025;The quality is top-notch.;0.0;Positive;0.0 to 0.49
277;22;6;4;21/03/2025;The quality is top-notch.;0.0;Positive;0.0 to 0.49
278;80;20;5;01/03/2023;Amazing value for the price.;0.7351;Positive;0.5 to 1.0
279;86;5;5;21/07/2023;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
280;68;19;4;09/11/2023;Good quality, but could be cheaper.;0.2382;Positive;0.0 to 0.49
281;71;5;4;19/11/2025;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
282;59;5;3;17/02/2023;Average experience, nothing special.;-0.3089;Mixed Negative;-0.49 to 0.0
283;87;13;5;14/02/2023;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
284;89;13;4;01/09/2023;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
285;29;3;4;25/08/2023;Good quality, but could be cheaper.;0.2382;Positive;0.0 to 0.49
286;53;16;5;04/05/2023;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
287;75;6;5;14/02/2025;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
288;68;17;5;21/06/2024;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
289;87;15;5;04/10/2023;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
290;20;14;2;23/09/2024;Average experience, nothing special.;-0.3089;Negative;-0.49 to 0.0
291;17;7;5;06/12/2025;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
292;15;7;5;19/10/2025;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
293;25;13;3;14/02/2023;Not worth the money.;-0.1695;Mixed Negative;-0.49 to 0.0
294;63;13;3;09/11/2023;Not worth the money.;-0.1695;Mixed Negative;-0.49 to 0.0
295;61;6;3;13/10/2024;The product is okay, but the instructions were unclear.;-0.2617;Mixed Negative;-0.49 to 0.0
296;85;18;4;13/12/2023;The quality is top-notch.;0.0;Positive;0.0 to 0.49
